"old_names","year","num"
"Barb",1975,"0"
"Barb",1976,"0"
"Barb",1977,"0"
"Barb",1978,"0"
"Barb",1979,"0"
"Barb",1980,"0"
"Barb",1981,"0"
"Barb",1982,"0"
"Barb",1983,"0"
"Barb",1984,"0"
"Barb",1985,"0"
"Barb",1986,"0"
"Barb",1987,"0"
"Barb",1988,"0"
"Barb",1989,"0"
"Barb",1990,"0"
"Barb",1991,"0"
"Barb",1992,"0"
"Barb",1993,"0"
"Barb",1994,"0"
"Barb",1995,"0"
"Barb",1996,"0"
"Barb",1997,"0"
"Barb",1998,"0"
"Barb",1999,"0"
"Barb",2000,"0"
"Barb",2001,"0"
"Barb",2002,"0"
"Barb",2003,"0"
"Barb",2004,"0"
"Barb",2005,"0"
"Barb",2006,"0"
"Barb",2007,"0"
"Barb",2008,"0"
"Barb",2009,"0"
"Barb",2010,"0"
"Barb",2011,"0"
"Barb",2012,"0"
"Barb",2013,"0"
"Barb",2014,"0"
"Barb",2015,"0"
"Barb",2016,"0"
"Barb",2017,"0"
"Barb",2018,"0"
"Barb",2019,"0"
"Barb",2020,"0"
"Barb",2021,"0"
"Barb",2022,"0"
"Barb",2023,"0"
"Barb",2024,"0"
"Barb",2025,"0"
"Bev",1880,"0"
"Bev",1881,"0"
"Bev",1882,"0"
"Bev",1883,"0"
"Bev",1884,"0"
"Bev",1885,"0"
"Bev",1886,"0"
"Bev",1887,"0"
"Bev",1888,"0"
"Bev",1889,"0"
"Bev",1890,"0"
"Bev",1891,"0"
"Bev",1892,"0"
"Bev",1893,"0"
"Bev",1894,"0"
"Bev",1895,"0"
"Bev",1896,"0"
"Bev",1897,"0"
"Bev",1898,"0"
"Bev",1899,"0"
"Bev",1900,"0"
"Bev",1901,"0"
"Bev",1902,"0"
"Bev",1903,"0"
"Bev",1904,"0"
"Bev",1905,"0"
"Bev",1906,"0"
"Bev",1907,"0"
"Bev",1908,"0"
"Bev",1909,"0"
"Bev",1910,"0"
"Bev",1911,"0"
"Bev",1912,"0"
"Bev",1913,"0"
"Bev",1914,"0"
"Bev",1915,"0"
"Bev",1916,"0"
"Bev",1917,"5"
"Bev",1918,"0"
"Bev",1919,"0"
"Bev",1920,"0"
"Bev",1921,"0"
"Bev",1922,"0"
"Bev",1923,"0"
"Bev",1924,"0"
"Bev",1925,"0"
"Bev",1926,"0"
"Bev",1927,"0"
"Bev",1928,"0"
"Bev",1929,"0"
"Bev",1930,"0"
"Bev",1931,"0"
"Bev",1932,"0"
"Bev",1933,"0"
"Bev",1934,"0"
"Bev",1935,"0"
"Bev",1936,"0"
"Bev",1937,"0"
"Bev",1938,"0"
"Bev",1939,"0"
"Bev",1940,"5"
"Bev",1941,"7"
"Bev",1942,"10"
"Bev",1943,"16"
"Bev",1944,"10"
"Bev",1945,"11"
"Bev",1946,"16"
"Bev",1947,"24"
"Bev",1948,"16"
"Bev",1949,"8"
"Bev",1950,"0"
"Bev",1951,"0"
"Bev",1952,"0"
"Bev",1953,"8"
"Bev",1954,"13"
"Bev",1955,"17"
"Bev",1956,"30"
"Bev",1957,"73"
"Bev",1958,"111"
"Bev",1959,"127"
"Bev",1960,"117"
"Bev",1961,"98"
"Bev",1962,"84"
"Bev",1963,"49"
"Bev",1964,"50"
"Bev",1965,"27"
"Bev",1966,"19"
"Bev",1967,"15"
"Bev",1968,"14"
"Bev",1969,"7"
"Bev",1970,"7"
"Bev",1971,"9"
"Bev",1972,"0"
"Bev",1973,"0"
"Bev",1974,"0"
"Bev",1975,"0"
"Bev",1976,"0"
"Bev",1977,"0"
"Bev",1978,"0"
"Bev",1979,"0"
"Bev",1980,"0"
"Bev",1981,"0"
"Bev",1982,"0"
"Bev",1983,"0"
"Bev",1984,"0"
"Bev",1985,"0"
"Bev",1986,"0"
"Bev",1987,"0"
"Bev",1988,"0"
"Bev",1989,"0"
"Bev",1990,"0"
"Bev",1991,"0"
"Bev",1992,"0"
"Bev",1993,"0"
"Bev",1994,"0"
"Bev",1995,"0"
"Bev",1996,"0"
"Bev",1997,"0"
"Bev",1998,"0"
"Bev",1999,"0"
"Bev",2000,"0"
"Bev",2001,"0"
"Bev",2002,"0"
"Bev",2003,"0"
"Bev",2004,"0"
"Bev",2005,"0"
"Bev",2006,"0"
"Bev",2007,"0"
"Bev",2008,"0"
"Bev",2009,"0"
"Bev",2010,"0"
"Bev",2011,"0"
"Bev",2012,"0"
"Bev",2013,"0"
"Bev",2014,"0"
"Bev",2015,"0"
"Bev",2016,"0"
"Bev",2017,"0"
"Bev",2018,"0"
"Bev",2019,"0"
"Bev",2020,"0"
"Bev",2021,"0"
"Bev",2022,"0"
"Bev",2023,"0"
"Bev",2024,"0"
"Bev",2025,"0"
"Bulah",1880,"5"
"Bulah",1881,"0"
"Bulah",1882,"10"
"Bulah",1883,"10"
"Bulah",1884,"6"
"Bulah",1885,"14"
"Bulah",1886,"11"
"Bulah",1887,"14"
"Bulah",1888,"13"
"Bulah",1889,"17"
"Bulah",1890,"17"
"Bulah",1891,"19"
"Bulah",1892,"22"
"Bulah",1893,"26"
"Bulah",1894,"21"
"Bulah",1895,"21"
"Bulah",1896,"24"
"Bulah",1897,"18"
"Bulah",1898,"19"
"Bulah",1899,"26"
"Bulah",1900,"36"
"Bulah",1901,"33"
"Bulah",1902,"30"
"Bulah",1903,"29"
"Bulah",1904,"35"
"Bulah",1905,"52"
"Bulah",1906,"44"
"Bulah",1907,"39"
"Bulah",1908,"39"
"Bulah",1909,"42"
"Bulah",1910,"55"
"Bulah",1911,"47"
"Bulah",1912,"47"
"Bulah",1913,"51"
"Bulah",1914,"85"
"Bulah",1915,"57"
"Bulah",1916,"74"
"Bulah",1917,"82"
"Bulah",1918,"86"
"Bulah",1919,"115"
"Bulah",1920,"108"
"Bulah",1921,"89"
"Bulah",1922,"85"
"Bulah",1923,"82"
"Bulah",1924,"97"
"Bulah",1925,"95"
"Bulah",1926,"81"
"Bulah",1927,"77"
"Bulah",1928,"65"
"Bulah",1929,"95"
"Bulah",1930,"76"
"Bulah",1931,"46"
"Bulah",1932,"57"
"Bulah",1933,"46"
"Bulah",1934,"44"
"Bulah",1935,"48"
"Bulah",1936,"42"
"Bulah",1937,"42"
"Bulah",1938,"24"
"Bulah",1939,"39"
"Bulah",1940,"29"
"Bulah",1941,"28"
"Bulah",1942,"24"
"Bulah",1943,"29"
"Bulah",1944,"14"
"Bulah",1945,"25"
"Bulah",1946,"19"
"Bulah",1947,"15"
"Bulah",1948,"19"
"Bulah",1949,"15"
"Bulah",1950,"16"
"Bulah",1951,"14"
"Bulah",1952,"0"
"Bulah",1953,"8"
"Bulah",1954,"9"
